,Industry,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equip and Supplies Dlrs,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instr, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Ambulatory Health Care Services,"Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,"Automotive Parts, Accessories, and Tire Stores",Total retail and food service¹,"Total retail and food service, excluding nonstore"
"Sep. 2 - Sep. 8, 2020",Median,25.1,28.4,19.2,20.9,1.3,-17.8,-10.6,27.0,8.6,-2.4,-7.1,-12.9,-39.0,-39.7,-29.0,-10.1,11.9,1.9,3.4
"Sep. 9 - Sep. 15, 2020",Median,15.2,15.6,13.6,11.4,0.4,-25.3,-8.9,23.9,6.7,-3.3,-9.1,-2.5,-41.3,-50.6,-31.4,-7.6,15.7,-1.6,-0.5
"Sep. 16 - Sep. 22, 2020",Median,15.2,16.8,17.6,11.9,-2.4,-22.4,-3.6,27.6,8.7,-2.4,-11.4,-6.2,-41.0,-50.1,-28.6,-5.1,14.7,-0.5,0.8
"Sep. 23 - Sep. 29, 2020",Median,14.0,18.8,14.5,11.2,-1.6,-22.3,-5.7,26.2,8.1,-3.5,-10.2,-4.2,-42.4,-50.5,-27.5,-6.4,12.6,-1.1,0.5
"Sep. 30 - Oct. 6, 2020",Median,19.2,23.2,19.9,15.7,1.5,-20.5,-7.8,30.5,11.3,-1.3,-8.0,-5.4,-35.7,-49.9,-28.6,-6.0,13.8,1.2,3.0
"Oct. 7 - Oct. 13, 2020",Median,6.4,15.6,11.0,8.6,-7.2,-26.2,-14.4,20.4,-2.0,-9.5,-13.8,-10.1,-41.7,-50.6,-31.6,-12.2,7.9,-6.7,-5.2
"Oct. 14 - Oct. 20, 2020",Median,10.6,16.6,10.5,4.4,-3.5,-30.0,-16.1,21.4,-3.8,-11.0,-16.2,-7.6,-41.4,-50.5,-31.0,-11.8,8.2,-7.5,-6.2
"Oct. 21 - Oct. 27, 2020",Median,7.3,14.8,5.8,11.4,-3.6,-24.9,-14.2,24.6,10.9,-7.0,-9.8,-9.1,-44.2,-52.4,-32.0,-13.4,7.2,-2.3,-1.1
"Oct. 28 - Nov. 3, 2020",Median,8.2,20.0,10.2,17.5,0.2,-23.4,-20.9,17.8,6.9,-9.5,-9.4,-3.4,-42.7,-54.1,-32.2,-6.4,7.3,-2.7,-1.0
"Nov. 4 - Nov. 10, 2020",Median,-0.7,17.0,13.6,5.8,-4.5,-24.2,-28.3,7.8,-7.3,-12.9,-19.4,-5.0,-46.2,-51.6,-32.1,-10.0,5.9,-10.5,-9.0
"Nov. 11 - Nov. 17, 2020",Median,7.0,19.2,9.0,12.8,5.2,-25.7,-18.6,18.4,0.9,-9.1,-12.8,4.4,-45.5,-54.0,-34.2,-10.5,2.9,-4.8,-3.5
"Nov. 18 - Nov. 24, 2020",Median,6.3,29.4,16.9,31.1,7.1,-27.6,-9.8,32.1,5.3,-5.7,-11.7,-2.5,-46.0,-57.9,-35.0,-9.7,4.0,1.0,3.3
"Nov. 25 - Dec. 1, 2020",Median,13.9,106.4,38.0,12.8,15.6,-29.4,18.2,58.7,4.6,-4.9,-2.6,-12.7,-42.3,-55.9,-43.3,-16.9,6.5,2.1,3.3
"Dec. 2 - Dec. 8, 2020",Median,20.7,35.9,23.6,-0.5,2.1,-22.9,-23.7,9.7,-0.1,-13.0,-14.6,7.1,-51.8,-54.7,-43.5,-7.2,10.0,-9.7,-8.5
"Dec. 9 - Dec. 15, 2020",Median,13.2,38.6,21.3,5.6,7.9,-18.4,-7.5,26.3,4.7,-8.5,-5.4,7.7,-49.0,-56.0,-41.5,-7.9,15.6,-3.6,-3.2
"Dec. 16 - Dec. 22, 2020",Median,6.4,29.1,16.7,23.6,12.2,-17.6,13.6,46.4,13.9,2.0,-9.8,8.8,-42.1,-56.6,-36.5,-5.0,11.0,4.3,6.9
"Dec. 23 - Dec. 29, 2020",Median,-2.9,38.7,25.5,17.4,29.0,-19.2,-15.7,15.5,-5.1,-13.4,-23.1,-29.2,-44.3,-48.2,-41.1,-20.3,1.6,-7.4,-4.7
"Dec. 30, 2020 - Jan. 5, 2021",Median,25.0,49.0,21.0,31.0,32.5,-13.8,-17.3,27.6,12.8,5.0,-6.5,-14.0,-36.1,-41.3,-31.3,-11.2,13.3,6.6,9.1
"Jan. 6 - Jan. 12, 2021",Median,24.5,38.3,28.7,25.7,1.2,-10.4,-8.6,42.5,20.0,8.7,1.1,4.1,-37.3,-54.6,-32.2,2.8,20.5,6.6,7.7
"Jan. 13 - Jan. 19, 2021",Median,28.6,37.1,29.3,27.0,-2.0,-4.2,-7.1,39.9,17.7,8.0,1.3,3.2,-34.8,-49.7,-29.6,-0.2,14.7,6.5,7.7
"Jan. 20 - Jan. 26, 2021",Median,22.3,33.5,23.3,19.5,-5.4,-8.9,-6.8,32.5,13.3,3.9,-1.7,0.2,-38.8,-53.0,-32.2,-5.9,12.5,2.3,3.2
"Jan. 27 - Feb. 2, 2021",Median,18.8,26.7,24.0,23.1,-6.9,-6.3,-12.8,22.4,10.6,2.5,5.0,-5.5,-36.2,-52.3,-33.2,-9.8,9.7,1.9,1.6
"Feb. 3 - Feb. 9, 2021",Median,7.9,23.1,20.4,23.5,-5.0,-8.2,-14.5,13.3,13.1,-3.9,2.0,-6.6,-38.4,-52.8,-37.2,-6.9,8.0,0.9,1.0
"Feb. 10 - Feb. 16, 2021",Median,1.2,18.4,15.8,27.7,-8.5,-13.3,-4.6,15.1,4.2,0.1,-0.1,-13.0,-35.2,-39.3,-32.2,-15.0,2.3,1.0,0.8
"Feb. 17 - Feb. 23, 2021",Median,7.2,21.0,12.5,15.8,-13.4,-7.4,-24.4,11.8,6.9,-8.2,-4.6,-9.7,-37.9,-44.4,-33.7,-5.0,4.7,-4.0,-3.8
"Feb. 24 - March 2, 2021",Median,19.5,38.2,23.4,16.4,-6.0,-1.0,-10.1,24.9,12.4,-0.8,8.8,0.1,-27.9,-41.8,-29.2,5.6,16.3,2.4,2.1
"March 3 - March 9, 2021",Median,23.4,32.7,23.3,18.8,-2.9,-1.8,-7.3,22.5,8.0,2.1,3.5,-0.8,-30.0,-43.7,-28.8,5.2,18.5,2.3,2.6
"March 10 - March 16, 2021",Median,29.2,46.8,28.8,20.1,5.1,1.5,11.0,45.4,18.0,7.1,2.1,0.4,-23.6,-36.1,-24.5,2.0,26.3,8.2,9.2
"March 17 - March 23, 2021",Median,46.8,58.0,43.3,21.6,-4.2,6.7,32.8,66.4,30.6,20.8,6.4,7.1,-18.4,-31.2,-16.4,14.0,43.8,16.1,17.4
